========================================
  TurtleBot4 Wall Follower (RANSAC)    
========================================

[WallFollower] Connected to shared memory segments:
  - /shm_scan
  - /shm_odom
  - /shm_cmd_vel

[WallFollower] Initialized. Target distance: 0.4m.
[WallFollower] Running... Press Ctrl+C to stop

[Control] Distance to wall: 0.418236m | Angle error: -21.2557° | Front clearance: 0.132m
[Control] Distance to wall: 0.418406m | Angle error: -20.8335° | Front clearance: 0.132m
[Control] Distance to wall: 0.41865m | Angle error: -20.802° | Front clearance: 0.132m
[Control] Distance to wall: 0.418406m | Angle error: -20.8335° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Loop 80] Processing scans...[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Control] Distance to wall: 0.41849m | Angle error: -21.206° | Front clearance: 0.132m
[Control] Distance to wall: 0.418137m | Angle error: -21.2191° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418754m | Angle error: -20.813° | Front clearance: 0.132m
[Control] Distance to wall: 0.418754m | Angle error: -20.813° | Front clearance: 0.132m
[Control] Distance to wall: 0.41901m | Angle error: -20.7816° | Front clearance: 0.132m
[Control] Distance to wall: 0.41865m | Angle error: -20.8143° | Front clearance: 0.132m
[Control] Distance to wall: 0.418142m | Angle error: -21.1034° | Front clearance: 0.132m
[Control] Distance to wall: 0.418028m | Angle error: -20.591° | Front clearance: 0.132m
[Control] Distance to wall: 0.418085m | Angle error: -21.1515° | Front clearance: 0.132m
[Control] Distance to wall: 0.418422m | Angle error: -20.9281° | Front clearance: 0.132m
[Control] Distance to wall: 0.418326m | Angle error: -20.9513° | Front clearance: 0.132m
[Control] Distance to wall: 0.417961m | Angle error: -21.1761° | Front clearance: 0.132m
[Control] Distance to wall: 0.418019m | Angle error: -20.8849° | Front clearance: 0.132m
[Control] Distance to wall: 0.418973m | Angle error: -20.8389° | Front clearance: 0.132m
[Control] Distance to wall: 0.418973m | Angle error: -20.8389° | Front clearance: 0.132m
[Loop 100] Processing scans...[Control] Distance to wall: 0.418724m | Angle error: -20.8681° | Front clearance: 0.132m
[Control] Distance to wall: 0.418547m | Angle error: -21.2226° | Front clearance: 0.132m
[Control] Distance to wall: 0.418547m | Angle error: -21.2226° | Front clearance: 0.132m
[Control] Distance to wall: 0.419171m | Angle error: -21.0937° | Front clearance: 0.132m
[Control] Distance to wall: 0.418925m | Angle error: -20.8532° | Front clearance: 0.132m
[Control] Distance to wall: 0.418151m | Angle error: -21.1668° | Front clearance: 0.132m
[Control] Distance to wall: 0.418136m | Angle error: -21.213° | Front clearance: 0.132m
[Control] Distance to wall: 0.418136m | Angle error: -21.213° | Front clearance: 0.132m
[Control] Distance to wall: 0.417861m | Angle error: -20.9423° | Front clearance: 0.132m
[Control] Distance to wall: 0.418094m | Angle error: -20.9211° | Front clearance: 0.132m
[Control] Distance to wall: 0.417926m | Angle error: -21.1718° | Front clearance: 0.132m
[Control] Distance to wall: 0.418094m | Angle error: -20.9211° | Front clearance: 0.132m
[Control] Distance to wall: 0.418475m | Angle error: -20.5447° | Front clearance: 0.132m
[Control] Distance to wall: 0.418475m | Angle error: -20.5447° | Front clearance: 0.132m
[Control] Distance to wall: 0.418273m | Angle error: -20.5696° | Front clearance: 0.132m
[Control] Distance to wall: 0.418315m | Angle error: -20.7796° | Front clearance: 0.132m
[Control] Distance to wall: 0.418231m | Angle error: -20.58° | Front clearance: 0.132m
[Control] Distance to wall: 0.418299m | Angle error: -21.2008° | Front clearance: 0.132m
[Control] Distance to wall: 0.4182m | Angle error: -21.1815° | Front clearance: 0.132m
[Control] Distance to wall: 0.418534m | Angle error: -20.8365° | Front clearance: 0.132m
[Loop 120] Processing scans...[Control] Distance to wall: 0.418476m | Angle error: -20.5339° | Front clearance: 0.132m
[Control] Distance to wall: 0.418044m | Angle error: -20.8211° | Front clearance: 0.132m
[Control] Distance to wall: 0.418283m | Angle error: -20.5585° | Front clearance: 0.132m
[Control] Distance to wall: 0.418442m | Angle error: -21.1123° | Front clearance: 0.132m
[Control] Distance to wall: 0.418564m | Angle error: -20.9236° | Front clearance: 0.132m
[Control] Distance to wall: 0.418363m | Angle error: -20.9244° | Front clearance: 0.132m
[Control] Distance to wall: 0.417825m | Angle error: -21.1686° | Front clearance: 0.132m
[Control] Distance to wall: 0.418151m | Angle error: -20.9487° | Front clearance: 0.132m
[Control] Distance to wall: 0.417908m | Angle error: -21.1139° | Front clearance: 0.132m
[Control] Distance to wall: 0.418411m | Angle error: -20.9287° | Front clearance: 0.132m
[Control] Distance to wall: 0.418411m | Angle error: -20.9287° | Front clearance: 0.132m
[Control] Distance to wall: 0.418319m | Angle error: -20.9324° | Front clearance: 0.132m
[Control] Distance to wall: 0.41837m | Angle error: -21.2484° | Front clearance: 0.132m
[Control] Distance to wall: 0.418329m | Angle error: -21.1663° | Front clearance: 0.132m
[Control] Distance to wall: 0.41843m | Angle error: -21.1853° | Front clearance: 0.132m
[Control] Distance to wall: 0.418734m | Angle error: -20.9452° | Front clearance: 0.132m
[Control] Distance to wall: 0.418907m | Angle error: -20.865° | Front clearance: 0.132m
[Control] Distance to wall: 0.418659m | Angle error: -21.0779° | Front clearance: 0.132m
[Control] Distance to wall: 0.41915m | Angle error: -20.8349° | Front clearance: 0.132m
[Control] Distance to wall: 0.418169m | Angle error: -20.9369° | Front clearance: 0.132m
[Loop 140] Processing scans...[Control] Distance to wall: 0.418169m | Angle error: -20.9369° | Front clearance: 0.132m
[Control] Distance to wall: 0.418055m | Angle error: -21.1894° | Front clearance: 0.132m
[Control] Distance to wall: 0.418935m | Angle error: -20.7861° | Front clearance: 0.132m
[Control] Distance to wall: 0.418685m | Angle error: -20.8175° | Front clearance: 0.132m
[Control] Distance to wall: 0.41768m | Angle error: -21.1436° | Front clearance: 0.132m
[Control] Distance to wall: 0.41768m | Angle error: -21.1436° | Front clearance: 0.132m
[Control] Distance to wall: 0.418084m | Angle error: -20.9297° | Front clearance: 0.132m
[Control] Distance to wall: 0.418364m | Angle error: -20.9° | Front clearance: 0.132m
[Control] Distance to wall: 0.418364m | Angle error: -20.9° | Front clearance: 0.132m
[Control] Distance to wall: 0.418364m | Angle error: -20.9° | Front clearance: 0.132m
[Control] Distance to wall: 0.418228m | Angle error: -20.9115° | Front clearance: 0.132m
[Control] Distance to wall: 0.418228m | Angle error: -20.9115° | Front clearance: 0.132m
[Control] Distance to wall: 0.417975m | Angle error: -21.1063° | Front clearance: 0.132m
[Control] Distance to wall: 0.41854m | Angle error: -20.8542° | Front clearance: 0.132m
[Control] Distance to wall: 0.417975m | Angle error: -21.1063° | Front clearance: 0.132m
[Control] Distance to wall: 0.418262m | Angle error: -20.9457° | Front clearance: 0.132m
[Control] Distance to wall: 0.417968m | Angle error: -20.9793° | Front clearance: 0.132m
[Control] Distance to wall: 0.418262m | Angle error: -20.9457° | Front clearance: 0.132m
[Control] Distance to wall: 0.418025m | Angle error: -21.1229° | Front clearance: 0.132m
[Control] Distance to wall: 0.418344m | Angle error: -20.9014° | Front clearance: 0.132m
[Loop 160] Processing scans...[Control] Distance to wall: 0.418025m | Angle error: -21.1229° | Front clearance: 0.132m
[Control] Distance to wall: 0.418442m | Angle error: -21.2194° | Front clearance: 0.132m
[Control] Distance to wall: 0.418442m | Angle error: -21.2194° | Front clearance: 0.132m
[Control] Distance to wall: 0.418431m | Angle error: -20.8283° | Front clearance: 0.132m
[Control] Distance to wall: 0.418682m | Angle error: -20.7975° | Front clearance: 0.132m
[Control] Distance to wall: 0.418431m | Angle error: -20.8283° | Front clearance: 0.132m
[Control] Distance to wall: 0.417846m | Angle error: -21.0967° | Front clearance: 0.132m
[Control] Distance to wall: 0.418397m | Angle error: -20.8491° | Front clearance: 0.132m
[Control] Distance to wall: 0.418397m | Angle error: -20.8491° | Front clearance: 0.132m
[Control] Distance to wall: 0.418201m | Angle error: -21.152° | Front clearance: 0.132m
[Control] Distance to wall: 0.418297m | Angle error: -21.1395° | Front clearance: 0.132m
[Control] Distance to wall: 0.418688m | Angle error: -20.8602° | Front clearance: 0.132m
[Control] Distance to wall: 0.417874m | Angle error: -21.1558° | Front clearance: 0.132m
[Control] Distance to wall: 0.418148m | Angle error: -20.9326° | Front clearance: 0.132m
[Control] Distance to wall: 0.418515m | Angle error: -20.9082° | Front clearance: 0.132m
[Control] Distance to wall: 0.418515m | Angle error: -20.9082° | Front clearance: 0.132m
[Control] Distance to wall: 0.418055m | Angle error: -21.1581° | Front clearance: 0.132m
[Control] Distance to wall: 0.418555m | Angle error: -20.9052° | Front clearance: 0.132m
[Control] Distance to wall: 0.418579m | Angle error: -20.5919° | Front clearance: 0.132m
[Control] Distance to wall: 0.41826m | Angle error: -20.8415° | Front clearance: 0.132m
[Loop 180] Processing scans...[Control] Distance to wall: 0.41802m | Angle error: -21.097° | Front clearance: 0.132m
[Control] Distance to wall: 0.41802m | Angle error: -21.097° | Front clearance: 0.132m
[Control] Distance to wall: 0.418557m | Angle error: -20.5498° | Front clearance: 0.132m
[Control] Distance to wall: 0.418358m | Angle error: -20.5749° | Front clearance: 0.132m
